matchId,shrooms_created,shrooms_destroyed,shroom_damage
NA1_4323386823,70,13,953
NA1_4322190232,93,13,3220
NA1_4316606787,66,12,2226
NA1_4301282211,44,0,104
NA1_4300798843,65,6,1634
NA1_4300693958,37,8,0
NA1_4300685080,58,0,1482
NA1_4298704738,66,7,1264
NA1_4298690445,35,1,574
NA1_4295329293,51,6,1915
NA1_4295287125,72,9,838
NA1_4295195078,67,5,3164
NA1_4284826894,19,0,222
NA1_4284724449,77,4,2363
NA1_4271290382,59,8,947
NA1_4271235379,27,5,326
NA1_4269580533,71,8,1062
NA1_4269458114,75,3,1699
NA1_4269483383,20,0,464
NA1_4265525691,93,17,3338
NA1_4261355548,60,9,433
